NAME,Population,Median_Income
"Washington County, Oregon",589481,38189
"Clatsop County, Oregon",39102,26716
"Cameron County, Pennsylvania",4611,23191
"Bucks County, Pennsylvania",626806,40466
"Lehigh County, Pennsylvania",365052,30969
"Clarion County, Pennsylvania",38715,24572
"Greene County, Pennsylvania",36870,26277
"Luzerne County, Pennsylvania",317663,28094
"Columbia County, Pennsylvania",65715,27199
"Jefferson County, Pennsylvania",43846,26079
"Perry County, Pennsylvania",46053,32005
"Sullivan County, Pennsylvania",6135,25406
"Kent County, Rhode Island",163869,37994
"Washington County, Rhode Island",126060,36249
"Newberry County, South Carolina",38194,25159
"Clarendon County, South Carolina",33957,21319
"Sumter County, South Carolina",106757,25126
"Barnwell County, South Carolina",21346,22901
"Darlington County, South Carolina",67027,22175
"York County, South Carolina",265872,32174
"Cherokee County, South Carolina",56895,23065
"Jasper County, South Carolina",28657,25243
"Lee County, South Carolina",17365,19677
"Abbeville County, South Carolina",24627,21890
"Lyman County, South Dakota",3848,25879
"Deuel County, South Dakota",4318,32314
"Glenn County, California",27976,24329
"Butte County, California",225817,24067
"Kings County, California",150691,26841
"Plumas County, California",18660,31351
"San Luis Obispo County, California",282165,31938
"Fresno County, California",984521,25238
"Kern County, California",887641,25013
"Orange County, California",3168044,36135
"Ventura County, California",847263,33814
"Calaveras County, California",45514,29124
"Sutter County, California",96109,26334
"San Mateo County, California",767423,49128
"Tuolumne County, California",54045,29458
"San Joaquin County, California",742603,29535
"Amador County, California",38429,31160
"Phillips County, Colorado",4290,31635
"Archuleta County, Colorado",13253,26314
"Denver County, Colorado",705576,39806
"Kiowa County, Colorado",1489,25980
"Huerfano County, Colorado",6679,23471
"Baca County, Colorado",3561,23096
"Gilpin County, Colorado",6018,44683
"Kit Carson County, Colorado",7447,29742
"Gunnison County, Colorado",16802,28016
"Mineral County, Colorado",824,30038
"Ouray County, Colorado",4796,34906
"Sedgwick County, Colorado",2322,24202
"Weld County, Colorado",305345,34305
"Custer County, Colorado",4776,26669
"Costilla County, Colorado",3745,18902
"Douglas County, Colorado",336041,52910
"Lake County, Colorado",7751,30400
"La Plata County, Colorado",55617,34074
"Pitkin County, Colorado",17926,42002
"Rio Grande County, Colorado",11305,21787
"Bent County, Colorado",5787,20260
"Crowley County, Colorado",5754,18032
"San Juan County, Colorado",589,32500
"Larimer County, Colorado",344786,32905
"Logan County, Colorado",22380,27450
"San Miguel County, Colorado",8049,36451
"Teller County, Colorado",24524,35242
"Elbert County, Colorado",25717,42429
"Las Animas County, Colorado",14266,23653
"Lincoln County, Colorado",5585,25561
"Summit County, Colorado",30649,36007
"Alamosa County, Colorado",16107,21241
"Delta County, Colorado",30565,25880
"Fremont County, Colorado",47321,26243
"Montrose County, Colorado",41686,27033
"Morgan County, Colorado",28517,27765
"Saguache County, Colorado",6592,23863
"Prowers County, Colorado",12022,26363
"Washington County, Colorado",4868,28315
"Grand County, Colorado",15303,35000
"Otero County, Colorado",18282,21957
"Broomfield County, Colorado",67886,47013
"Sussex County, Delaware",224384,31752
"District of Columbia, District of Columbia",692683,49542
"New Haven County, Connecticut",857513,35721
"Hartford County, Connecticut",893561,37985
"Shelby County, Tennessee",936374,28181
"Henderson County, Tennessee",27977,24619
"Jefferson County, Tennessee",53679,22984
"Sequatchie County, Tennessee",14816,21794
"Carroll County, Tennessee",27886,22236
"Davidson County, Tennessee",687488,32518
"Perry County, Tennessee",7962,19701
"Meigs County, Tennessee",12104,24033
"Haywood County, Tennessee",17623,22915
"Montgomery County, Tennessee",200180,31030
"Grundy County, Tennessee",13344,20029
"Cocke County, Tennessee",35552,21351
"DeKalb County, Tennessee",19847,28066
"Lewis County, Tennessee",12027,22104
"Obion County, Tennessee",30365,23795
"Tipton County, Tennessee",61447,30703
"Dyer County, Tennessee",37416,25698
"Hamilton County, Tennessee",360919,29070
"Polk County, Tennessee",16814,25015
"White County, Tennessee",26800,22788
"Sullivan County, Tennessee",157050,24758
"Schoharie County, New York",31222,30092
"Fulton County, New York",53646,27934
"Rensselaer County, New York",159185,36310
"Franklin County, New York",50477,28799
