NAME,Population,Median_Income
"Staunton city, Virginia",24660,29139
"Suffolk city, Virginia",91383,38427
"Virginia Beach city, Virginia",450882,39356
"Waynesboro city, Virginia",22300,29628
"Williamsburg city, Virginia",15034,20061
"Winchester city, Virginia",27912,29627
"Adams County, Washington",19702,25140
"Asotin County, Washington",22636,27438
"Benton County, Washington",200715,35676
"Chelan County, Washington",76653,30424
"Clallam County, Washington",76482,29134
"Clark County, Washington",481950,37704
"Columbia County, Washington",4024,32046
"Cowlitz County, Washington",108399,29266
"Douglas County, Washington",42520,31531
"Ferry County, Washington",7643,23028
"Franklin County, Washington",93681,30030
"Garfield County, Washington",2258,30484
"Grant County, Washington",96648,27767
"Grays Harbor County, Washington",73769,27373
"Island County, Washington",84187,35565
"King County, Washington",2225064,47817
"Kitsap County, Washington",268945,38761
"Kittitas County, Washington",47097,27400
"Lewis County, Washington",79430,26904
"Durham County, North Carolina",317665,35085
"Franklin County, North Carolina",68027,28581
"Graham County, North Carolina",8501,21315
"Guilford County, North Carolina",532956,30173
"Haywood County, North Carolina",61862,27711
"Hyde County, North Carolina",5089,21275
"Johnston County, North Carolina",203308,30833
"Lenoir County, North Carolina",56350,23812
"Macon County, North Carolina",35172,25780
"Mecklenburg County, North Carolina",1095170,36443
"Stanly County, North Carolina",62050,28219
"Swain County, North Carolina",14241,23289
"Union County, North Carolina",235767,35468
"Warren County, North Carolina",19746,22092
"Wayne County, North Carolina",123785,26151
"Yadkin County, North Carolina",37589,27014
"Bergen County, New Jersey",931275,47192
"Cape May County, New Jersey",92701,35208
"Gloucester County, New Jersey",291745,41212
"Mercer County, New Jersey",368085,37223
"Morris County, New Jersey",492715,52118
"Salem County, New Jersey",62754,32173
"Union County, New Jersey",555208,37853
"Allen County, Indiana",375520,31134
"Blackford County, Indiana",11926,25684
"Carroll County, Indiana",20137,29986
"Clay County, Indiana",26231,31716
"Daviess County, Indiana",33277,27304
"DeKalb County, Indiana",43193,31348
"Elkhart County, Indiana",205184,30035
"Kosciusko County, Indiana",79156,31290
"LaPorte County, Indiana",110026,29512
"Marion County, Indiana",957337,30980
"Miami County, Indiana",35684,28271
"Morgan County, Indiana",70141,32539
"Ohio County, Indiana",5890,31823
"Parke County, Indiana",16912,27282
"Porter County, Indiana",169482,34391
"Putnam County, Indiana",37419,27152
"Rush County, Indiana",16632,31708
"Scott County, Indiana",23785,24825
"Starke County, Indiana",22996,25060
"Switzerland County, Indiana",10727,28779
"Union County, Indiana",7140,31676
